,Image,x_top,y_top,x_bottom,y_bottom,label
0,image_0064.jpg,37,140,46,342,Airplanes
0,image_0065.jpg,30,125,50,345,Airplanes
0,image_0066.jpg,39,109,52,344,Airplanes
0,image_0067.jpg,25,150,44,343,Airplanes
0,image_0068.jpg,30,144,49,339,Airplanes
0,image_0069.jpg,32,147,59,343,Airplanes
0,image_0070.jpg,34,156,58,345,Airplanes
0,image_0071.jpg,42,152,54,360,Airplanes
0,image_0072.jpg,78,171,59,341,Airplanes
0,image_0073.jpg,30,111,48,295,Airplanes
0,image_0074.jpg,27,100,51,346,Airplanes
0,image_0075.jpg,32,112,66,357,Airplanes
0,image_0076.jpg,33,147,49,342,Airplanes
0,image_0077.jpg,27,128,40,347,Airplanes
0,image_0078.jpg,23,159,46,337,Airplanes
0,image_0079.jpg,29,133,54,338,Airplanes
0,image_0080.jpg,32,139,55,341,Airplanes
0,image_0081.jpg,31,124,60,336,Airplanes
0,image_0082.jpg,22,140,55,345,Airplanes
0,image_0083.jpg,16,148,51,335,Airplanes
0,image_0084.jpg,44,144,60,349,Airplanes
0,image_0085.jpg,15,144,51,343,Airplanes
0,image_0086.jpg,32,112,50,344,Airplanes
0,image_0087.jpg,50,151,48,341,Airplanes
0,image_0088.jpg,52,146,57,354,Airplanes
0,image_0089.jpg,7,148,46,347,Airplanes
0,image_0090.jpg,32,163,57,343,Airplanes
0,image_0091.jpg,28,146,48,345,Airplanes
0,image_0092.jpg,32,160,54,349,Airplanes
0,image_0093.jpg,31,125,46,343,Airplanes
0,image_0094.jpg,24,110,54,346,Airplanes
0,image_0095.jpg,28,131,52,346,Airplanes
0,image_0096.jpg,41,138,52,329,Airplanes
0,image_0097.jpg,28,158,52,343,Airplanes
0,image_0098.jpg,11,164,69,339,Airplanes
0,image_0099.jpg,31,162,48,344,Airplanes
0,image_0100.jpg,8,167,46,343,Airplanes
0,image_0101.jpg,4,165,48,348,Airplanes
0,image_0102.jpg,25,109,49,343,Airplanes
0,image_0103.jpg,28,109,46,347,Airplanes
0,image_0104.jpg,13,184,53,344,Airplanes
0,image_0105.jpg,41,165,44,349,Airplanes
0,image_0106.jpg,31,152,48,352,Airplanes
0,image_0107.jpg,39,147,52,343,Airplanes
0,image_0108.jpg,10,127,56,345,Airplanes
0,image_0109.jpg,33,131,53,342,Airplanes
0,image_0110.jpg,13,138,54,345,Airplanes
0,image_0111.jpg,34,132,58,339,Airplanes
0,image_0112.jpg,22,139,62,339,Airplanes
0,image_0113.jpg,28,122,49,328,Airplanes
0,image_0114.jpg,38,159,45,342,Airplanes
0,image_0115.jpg,37,151,50,341,Airplanes
0,image_0116.jpg,31,139,52,336,Airplanes
0,image_0117.jpg,28,142,52,348,Airplanes
0,image_0118.jpg,38,38,104,126,Airplanes
0,image_0119.jpg,7,97,46,343,Airplanes
0,image_0120.jpg,24,136,42,351,Airplanes
0,image_0121.jpg,32,156,32,349,Airplanes
0,image_0122.jpg,38,139,61,355,Airplanes
0,image_0123.jpg,32,125,57,351,Airplanes
0,image_0124.jpg,33,117,51,348,Airplanes
0,image_0125.jpg,38,118,33,349,Airplanes
0,image_0126.jpg,35,117,56,346,Airplanes
0,image_0127.jpg,25,128,60,344,Airplanes
0,image_0128.jpg,27,123,64,351,Airplanes
0,image_0129.jpg,41,132,66,362,Airplanes
0,image_0130.jpg,30,118,45,342,Airplanes
0,image_0131.jpg,31,135,61,349,Airplanes
0,image_0132.jpg,33,111,56,344,Airplanes
0,image_0133.jpg,63,138,53,335,Airplanes
0,image_0134.jpg,27,99,42,343,Airplanes
0,image_0135.jpg,53,141,66,357,Airplanes
0,image_0136.jpg,28,142,35,346,Airplanes
0,image_0137.jpg,31,95,38,351,Airplanes
0,image_0138.jpg,25,95,42,345,Airplanes
0,image_0139.jpg,26,98,41,346,Airplanes
0,image_0140.jpg,25,94,41,345,Airplanes
0,image_0141.jpg,34,136,64,351,Airplanes
0,image_0142.jpg,31,148,52,346,Airplanes
0,image_0143.jpg,33,128,59,349,Airplanes
0,image_0144.jpg,29,122,59,342,Airplanes
0,image_0145.jpg,60,144,69,339,Airplanes
0,image_0146.jpg,67,128,75,351,Airplanes
0,image_0147.jpg,29,120,51,334,Airplanes
0,image_0148.jpg,34,127,61,343,Airplanes
0,image_0149.jpg,32,124,54,348,Airplanes
0,image_0150.jpg,31,95,58,347,Airplanes
0,image_0151.jpg,33,93,47,356,Airplanes
0,image_0152.jpg,32,143,62,349,Airplanes
0,image_0153.jpg,37,146,54,346,Airplanes
0,image_0154.jpg,30,110,26,345,Airplanes
0,image_0155.jpg,31,126,39,350,Airplanes
0,image_0156.jpg,28,109,58,339,Airplanes
0,image_0157.jpg,23,105,60,343,Airplanes
0,image_0158.jpg,31,112,56,349,Airplanes
0,image_0159.jpg,36,176,60,343,Airplanes
0,image_0160.jpg,30,138,57,341,Airplanes
0,image_0161.jpg,29,98,50,343,Airplanes
0,image_0162.jpg,30,133,58,350,Airplanes
0,image_0163.jpg,35,93,66,340,Airplanes
0,image_0164.jpg,29,143,50,341,Airplanes
0,image_0165.jpg,31,117,43,344,Airplanes
0,image_0166.jpg,38,121,64,357,Airplanes
0,image_0167.jpg,28,113,51,340,Airplanes
0,image_0168.jpg,33,130,59,345,Airplanes
0,image_0169.jpg,33,115,49,353,Airplanes
0,image_0170.jpg,26,119,56,349,Airplanes
0,image_0171.jpg,42,109,44,343,Airplanes
0,image_0172.jpg,42,159,63,356,Airplanes
0,image_0173.jpg,28,115,44,348,Airplanes
0,image_0174.jpg,28,138,44,345,Airplanes
0,image_0175.jpg,64,144,58,334,Airplanes
0,image_0176.jpg,28,126,61,350,Airplanes
0,image_0177.jpg,26,117,42,343,Airplanes
0,image_0178.jpg,32,159,51,346,Airplanes
0,image_0179.jpg,31,143,54,349,Airplanes
0,image_0180.jpg,33,123,51,350,Airplanes
0,image_0181.jpg,30,127,52,344,Airplanes
0,image_0182.jpg,29,110,60,347,Airplanes
0,image_0183.jpg,28,112,43,344,Airplanes
0,image_0184.jpg,30,109,53,346,Airplanes
0,image_0185.jpg,28,113,56,342,Airplanes
0,image_0186.jpg,32,149,48,345,Airplanes
0,image_0187.jpg,35,130,58,351,Airplanes
0,image_0188.jpg,27,111,50,347,Airplanes
0,image_0189.jpg,30,131,55,347,Airplanes
0,image_0190.jpg,36,120,56,344,Airplanes
0,image_0191.jpg,29,120,54,346,Airplanes
0,image_0192.jpg,27,102,55,344,Airplanes
0,image_0193.jpg,28,137,60,348,Airplanes
0,image_0194.jpg,63,131,50,341,Airplanes
0,image_0195.jpg,31,108,55,347,Airplanes
0,image_0196.jpg,26,133,53,344,Airplanes
0,image_0197.jpg,27,112,52,346,Airplanes
0,image_0198.jpg,28,141,48,348,Airplanes
0,image_0199.jpg,43,152,79,352,Airplanes
0,image_0200.jpg,31,135,56,346,Airplanes
0,image_0201.jpg,35,121,50,345,Airplanes
0,image_0202.jpg,33,60,51,273,Airplanes
0,image_0203.jpg,30,142,45,350,Airplanes
0,image_0204.jpg,32,130,52,344,Airplanes
0,image_0205.jpg,47,133,58,348,Airplanes
0,image_0206.jpg,32,135,57,342,Airplanes
0,image_0207.jpg,30,147,58,342,Airplanes
0,image_0208.jpg,44,190,67,342,Airplanes
0,image_0209.jpg,42,158,65,345,Airplanes
0,image_0210.jpg,38,190,60,347,Airplanes
0,image_0211.jpg,37,141,65,347,Airplanes
0,image_0212.jpg,47,161,62,351,Airplanes
0,image_0213.jpg,32,149,51,349,Airplanes
0,image_0214.jpg,32,104,53,342,Airplanes
0,image_0215.jpg,28,116,46,344,Airplanes
0,image_0216.jpg,37,136,66,347,Airplanes
0,image_0217.jpg,32,142,51,348,Airplanes
0,image_0218.jpg,30,119,49,349,Airplanes
0,image_0219.jpg,40,134,44,348,Airplanes
0,image_0220.jpg,25,99,50,346,Airplanes
0,image_0221.jpg,38,145,55,358,Airplanes
0,image_0222.jpg,37,161,40,350,Airplanes
0,image_0223.jpg,29,141,26,347,Airplanes
0,image_0224.jpg,33,125,52,346,Airplanes
0,image_0225.jpg,31,112,48,350,Airplanes
0,image_0226.jpg,12,123,47,346,Airplanes
0,image_0227.jpg,34,138,40,346,Airplanes
0,image_0228.jpg,27,96,52,348,Airplanes
0,image_0229.jpg,36,144,54,346,Airplanes
0,image_0230.jpg,74,136,65,349,Airplanes
0,image_0231.jpg,75,138,77,351,Airplanes
0,image_0232.jpg,36,111,56,352,Airplanes
0,image_0233.jpg,33,133,57,351,Airplanes
0,image_0234.jpg,31,146,52,345,Airplanes
0,image_0235.jpg,38,139,56,349,Airplanes
0,image_0236.jpg,35,138,47,351,Airplanes
0,image_0237.jpg,38,138,45,355,Airplanes
0,image_0238.jpg,32,145,50,348,Airplanes
0,image_0239.jpg,33,148,65,356,Airplanes
0,image_0240.jpg,32,126,59,350,Airplanes
0,image_0241.jpg,32,141,26,354,Airplanes
0,image_0242.jpg,37,115,49,343,Airplanes
0,image_0243.jpg,34,138,34,350,Airplanes
0,image_0244.jpg,31,145,39,342,Airplanes
0,image_0245.jpg,56,171,82,366,Airplanes
0,image_0246.jpg,29,135,49,344,Airplanes
0,image_0247.jpg,32,94,72,360,Airplanes
0,image_0248.jpg,29,143,57,344,Airplanes
0,image_0249.jpg,30,134,64,344,Airplanes
0,image_0250.jpg,31,148,76,340,Airplanes
0,image_0251.jpg,40,112,57,345,Airplanes
0,image_0252.jpg,33,135,66,351,Airplanes
0,image_0253.jpg,31,126,44,343,Airplanes
0,image_0254.jpg,61,187,49,349,Airplanes
0,image_0255.jpg,39,115,63,352,Airplanes
0,image_0256.jpg,62,155,86,350,Airplanes
0,image_0257.jpg,27,113,52,340,Airplanes
0,image_0258.jpg,31,154,48,340,Airplanes
0,image_0259.jpg,36,110,70,353,Airplanes
0,image_0260.jpg,55,114,78,356,Airplanes
0,image_0261.jpg,37,153,55,322,Airplanes
0,image_0262.jpg,81,412,85,322,Airplanes
0,image_0263.jpg,79,194,89,344,Airplanes
0,image_0264.jpg,36,116,54,335,Airplanes
0,image_0265.jpg,50,280,47,293,Airplanes
0,image_0266.jpg,67,187,57,348,Airplanes
0,image_0267.jpg,88,184,44,353,Airplanes
0,image_0268.jpg,35,131,57,347,Airplanes
0,image_0269.jpg,39,140,72,350,Airplanes
0,image_0270.jpg,38,132,64,350,Airplanes
0,image_0271.jpg,33,123,60,343,Airplanes
0,image_0272.jpg,39,132,54,360,Airplanes
0,image_0273.jpg,25,124,66,349,Airplanes
0,image_0274.jpg,34,130,57,353,Airplanes
0,image_0275.jpg,27,93,54,343,Airplanes
0,image_0276.jpg,27,105,40,345,Airplanes
0,image_0277.jpg,34,154,59,348,Airplanes
0,image_0278.jpg,34,151,51,347,Airplanes
0,image_0279.jpg,30,130,42,347,Airplanes
0,image_0280.jpg,40,139,50,345,Airplanes
0,image_0281.jpg,29,134,47,348,Airplanes
0,image_0282.jpg,29,113,48,351,Airplanes
0,image_0283.jpg,32,92,57,346,Airplanes
0,image_0284.jpg,36,134,58,353,Airplanes
0,image_0285.jpg,33,127,61,351,Airplanes
0,image_0286.jpg,41,120,56,350,Airplanes
0,image_0287.jpg,37,123,58,342,Airplanes
0,image_0288.jpg,27,112,57,348,Airplanes
0,image_0289.jpg,32,137,61,343,Airplanes
0,image_0290.jpg,34,133,43,354,Airplanes
0,image_0291.jpg,30,128,59,352,Airplanes
0,image_0292.jpg,31,122,60,353,Airplanes
0,image_0293.jpg,33,123,62,352,Airplanes
0,image_0294.jpg,31,133,55,350,Airplanes
0,image_0295.jpg,35,144,53,351,Airplanes
0,image_0296.jpg,39,144,66,361,Airplanes
0,image_0297.jpg,28,126,64,345,Airplanes
0,image_0298.jpg,32,126,62,354,Airplanes
0,image_0299.jpg,32,137,52,348,Airplanes
0,image_0300.jpg,32,108,62,352,Airplanes
0,image_0301.jpg,27,127,44,343,Airplanes
0,image_0302.jpg,33,126,60,348,Airplanes
0,image_0303.jpg,33,137,50,342,Airplanes
0,image_0304.jpg,56,163,59,352,Airplanes
0,image_0305.jpg,40,138,51,346,Airplanes
0,image_0306.jpg,7,138,40,348,Airplanes
0,image_0307.jpg,31,120,60,354,Airplanes
0,image_0308.jpg,27,105,53,340,Airplanes
0,image_0309.jpg,43,127,67,367,Airplanes
0,image_0310.jpg,38,133,48,351,Airplanes
0,image_0311.jpg,35,130,60,349,Airplanes
0,image_0312.jpg,33,128,65,355,Airplanes
0,image_0313.jpg,27,125,40,344,Airplanes
0,image_0314.jpg,84,165,63,344,Airplanes
0,image_0315.jpg,31,156,32,351,Airplanes
0,image_0316.jpg,27,98,43,347,Airplanes
0,image_0317.jpg,30,105,37,348,Airplanes
0,image_0318.jpg,36,153,44,350,Airplanes
0,image_0319.jpg,27,113,51,349,Airplanes
0,image_0320.jpg,42,153,75,358,Airplanes
0,image_0321.jpg,28,123,54,350,Airplanes
0,image_0322.jpg,41,146,71,355,Airplanes
0,image_0323.jpg,55,126,64,350,Airplanes
0,image_0324.jpg,43,150,63,354,Airplanes
0,image_0325.jpg,33,136,65,352,Airplanes
0,image_0326.jpg,30,147,44,351,Airplanes
0,image_0327.jpg,27,116,50,350,Airplanes
0,image_0328.jpg,28,117,58,347,Airplanes
0,image_0329.jpg,27,121,51,354,Airplanes
0,image_0330.jpg,40,128,69,358,Airplanes
0,image_0331.jpg,41,146,71,347,Airplanes
0,image_0332.jpg,39,157,66,355,Airplanes
0,image_0333.jpg,27,128,49,350,Airplanes
0,image_0334.jpg,32,121,52,348,Airplanes
0,image_0335.jpg,30,112,53,350,Airplanes
0,image_0336.jpg,31,119,55,351,Airplanes
0,image_0337.jpg,29,118,57,348,Airplanes
0,image_0338.jpg,30,134,56,346,Airplanes
0,image_0339.jpg,26,106,48,344,Airplanes
0,image_0340.jpg,31,117,58,353,Airplanes
0,image_0341.jpg,55,119,67,351,Airplanes
0,image_0342.jpg,33,127,54,349,Airplanes
0,image_0343.jpg,27,105,60,349,Airplanes
0,image_0344.jpg,29,147,54,349,Airplanes
0,image_0345.jpg,36,106,64,355,Airplanes
0,image_0346.jpg,20,116,52,345,Airplanes
0,image_0347.jpg,33,138,56,353,Airplanes
0,image_0348.jpg,26,112,52,353,Airplanes
0,image_0349.jpg,31,114,52,344,Airplanes
0,image_0350.jpg,30,118,55,348,Airplanes
0,image_0351.jpg,37,127,62,347,Airplanes
0,image_0352.jpg,66,147,63,344,Airplanes
0,image_0353.jpg,34,142,61,350,Airplanes
0,image_0354.jpg,36,142,57,348,Airplanes
0,image_0355.jpg,48,136,60,355,Airplanes
0,image_0356.jpg,33,116,53,350,Airplanes
0,image_0357.jpg,28,102,53,341,Airplanes
0,image_0358.jpg,37,140,74,356,Airplanes
0,image_0359.jpg,33,127,49,346,Airplanes
0,image_0360.jpg,31,112,57,344,Airplanes
0,image_0361.jpg,35,143,53,351,Airplanes
0,image_0362.jpg,34,121,61,359,Airplanes
0,image_0363.jpg,33,120,58,342,Airplanes
0,image_0364.jpg,29,134,64,350,Airplanes
0,image_0365.jpg,31,109,66,345,Airplanes
0,image_0366.jpg,32,146,54,352,Airplanes
0,image_0367.jpg,31,112,56,349,Airplanes
0,image_0368.jpg,86,162,62,339,Airplanes
0,image_0369.jpg,27,135,55,343,Airplanes
0,image_0370.jpg,27,90,51,348,Airplanes
0,image_0371.jpg,28,131,55,350,Airplanes
0,image_0372.jpg,32,122,52,354,Airplanes
0,image_0373.jpg,27,106,62,350,Airplanes
0,image_0374.jpg,27,114,53,351,Airplanes
0,image_0375.jpg,27,113,61,350,Airplanes
0,image_0376.jpg,27,135,42,347,Airplanes
0,image_0377.jpg,80,157,68,350,Airplanes
0,image_0378.jpg,27,128,58,347,Airplanes
0,image_0379.jpg,39,150,65,359,Airplanes
0,image_0380.jpg,31,117,56,348,Airplanes
0,image_0381.jpg,31,119,49,352,Airplanes
0,image_0382.jpg,26,116,59,353,Airplanes
0,image_0383.jpg,30,142,57,352,Airplanes
0,image_0384.jpg,31,120,56,353,Airplanes
0,image_0385.jpg,31,136,60,346,Airplanes
0,image_0386.jpg,47,165,72,342,Airplanes
0,image_0387.jpg,33,132,58,345,Airplanes
0,image_0388.jpg,31,108,50,347,Airplanes
0,image_0389.jpg,30,125,54,351,Airplanes
0,image_0390.jpg,28,110,51,351,Airplanes
0,image_0391.jpg,33,114,59,360,Airplanes
0,image_0392.jpg,35,141,64,355,Airplanes
0,image_0393.jpg,31,142,39,348,Airplanes
0,image_0394.jpg,30,127,54,347,Airplanes
0,image_0395.jpg,27,133,35,349,Airplanes
0,image_0396.jpg,33,131,60,361,Airplanes
0,image_0397.jpg,27,118,52,348,Airplanes
0,image_0398.jpg,30,130,54,352,Airplanes
0,image_0399.jpg,27,121,56,351,Airplanes
0,image_0400.jpg,29,97,58,351,Airplanes
0,image_0401.jpg,24,93,53,348,Airplanes
0,image_0402.jpg,26,132,55,349,Airplanes
0,image_0403.jpg,27,122,49,346,Airplanes
0,image_0404.jpg,31,118,58,354,Airplanes
0,image_0405.jpg,32,146,54,354,Airplanes
0,image_0406.jpg,29,141,56,354,Airplanes
0,image_0407.jpg,72,163,72,348,Airplanes
0,image_0408.jpg,86,167,70,347,Airplanes
0,image_0409.jpg,82,160,65,352,Airplanes
0,image_0410.jpg,26,115,50,345,Airplanes
0,image_0411.jpg,27,91,57,355,Airplanes
0,image_0412.jpg,26,124,54,359,Airplanes
0,image_0413.jpg,31,102,55,354,Airplanes
0,image_0414.jpg,33,123,61,356,Airplanes
0,image_0415.jpg,36,135,51,351,Airplanes
0,image_0416.jpg,31,127,52,351,Airplanes
0,image_0417.jpg,33,134,28,356,Airplanes
0,image_0418.jpg,41,146,70,358,Airplanes
0,image_0419.jpg,33,124,71,350,Airplanes
0,image_0420.jpg,30,134,51,342,Airplanes
0,image_0421.jpg,29,139,57,350,Airplanes
0,image_0422.jpg,23,102,54,349,Airplanes
0,image_0423.jpg,31,142,64,358,Airplanes
0,image_0424.jpg,27,100,54,347,Airplanes
0,image_0425.jpg,29,87,71,351,Airplanes
0,image_0426.jpg,28,130,56,351,Airplanes
0,image_0427.jpg,31,102,52,351,Airplanes
0,image_0428.jpg,32,116,50,350,Airplanes
0,image_0429.jpg,26,96,57,356,Airplanes
0,image_0430.jpg,28,84,57,352,Airplanes
0,image_0431.jpg,34,148,49,354,Airplanes
0,image_0432.jpg,50,120,86,369,Airplanes
0,image_0433.jpg,24,85,44,351,Airplanes
0,image_0434.jpg,30,112,57,353,Airplanes
0,image_0435.jpg,29,100,48,353,Airplanes
0,image_0436.jpg,27,104,51,348,Airplanes
0,image_0437.jpg,27,115,50,355,Airplanes
0,image_0438.jpg,29,121,52,350,Airplanes
0,image_0439.jpg,32,115,54,361,Airplanes
0,image_0440.jpg,29,116,57,356,Airplanes
0,image_0441.jpg,31,101,54,355,Airplanes
0,image_0442.jpg,30,91,53,346,Airplanes
0,image_0443.jpg,31,122,50,347,Airplanes
0,image_0444.jpg,30,96,46,344,Airplanes
0,image_0445.jpg,30,127,49,356,Airplanes
0,image_0446.jpg,29,105,57,351,Airplanes
0,image_0447.jpg,26,130,57,354,Airplanes
0,image_0448.jpg,31,96,55,351,Airplanes
0,image_0449.jpg,73,226,72,324,Airplanes
0,image_0450.jpg,43,139,64,364,Airplanes
0,image_0451.jpg,24,96,56,351,Airplanes
0,image_0452.jpg,30,143,52,349,Airplanes
0,image_0453.jpg,26,114,55,346,Airplanes
0,image_0454.jpg,32,125,53,350,Airplanes
0,image_0455.jpg,27,117,56,352,Airplanes
0,image_0456.jpg,32,141,60,359,Airplanes
0,image_0457.jpg,22,107,42,352,Airplanes
0,image_0458.jpg,28,132,56,354,Airplanes
0,image_0459.jpg,25,114,57,346,Airplanes
0,image_0460.jpg,17,123,56,352,Airplanes
0,image_0461.jpg,28,102,47,353,Airplanes
0,image_0462.jpg,30,113,57,354,Airplanes
0,image_0463.jpg,30,119,61,353,Airplanes
0,image_0464.jpg,34,142,31,353,Airplanes
0,image_0465.jpg,27,125,50,350,Airplanes
0,image_0466.jpg,31,138,55,348,Airplanes
0,image_0467.jpg,27,127,46,351,Airplanes
0,image_0468.jpg,36,150,60,361,Airplanes
0,image_0469.jpg,26,114,42,348,Airplanes
0,image_0470.jpg,28,137,48,346,Airplanes
0,image_0471.jpg,25,103,48,345,Airplanes
0,image_0472.jpg,31,127,48,350,Airplanes
0,image_0473.jpg,67,127,62,353,Airplanes
0,image_0474.jpg,28,123,51,345,Airplanes
0,image_0475.jpg,72,164,59,328,Airplanes
0,image_0476.jpg,76,147,78,354,Airplanes
0,image_0477.jpg,32,141,26,350,Airplanes
0,image_0478.jpg,28,138,76,340,Airplanes
0,image_0479.jpg,39,120,64,364,Airplanes
0,image_0480.jpg,27,122,50,351,Airplanes
0,image_0481.jpg,27,133,50,349,Airplanes
0,image_0482.jpg,26,136,56,349,Airplanes
0,image_0483.jpg,28,144,48,346,Airplanes
0,image_0484.jpg,75,139,70,354,Airplanes
0,image_0485.jpg,26,130,57,350,Airplanes
0,image_0486.jpg,55,118,57,342,Airplanes
0,image_0487.jpg,27,117,53,347,Airplanes
0,image_0488.jpg,35,146,58,358,Airplanes
0,image_0489.jpg,30,129,56,352,Airplanes
0,image_0490.jpg,27,129,59,347,Airplanes
0,image_0491.jpg,32,132,59,346,Airplanes
0,image_0492.jpg,26,107,56,348,Airplanes
0,image_0493.jpg,22,83,48,349,Airplanes
0,image_0494.jpg,30,129,59,354,Airplanes
0,image_0495.jpg,31,140,55,352,Airplanes
0,image_0496.jpg,24,127,40,346,Airplanes
0,image_0497.jpg,26,115,53,350,Airplanes
0,image_0498.jpg,27,114,53,349,Airplanes
0,image_0499.jpg,25,136,49,349,Airplanes
0,image_0500.jpg,25,112,53,350,Airplanes
0,image_0501.jpg,25,129,54,350,Airplanes
0,image_0502.jpg,24,121,50,349,Airplanes
0,image_0503.jpg,29,123,64,353,Airplanes
0,image_0504.jpg,29,114,57,348,Airplanes
0,image_0505.jpg,25,112,55,347,Airplanes
0,image_0506.jpg,25,114,62,349,Airplanes
0,image_0507.jpg,21,105,54,348,Airplanes
0,image_0508.jpg,28,133,54,349,Airplanes
0,image_0509.jpg,29,126,53,348,Airplanes
0,image_0510.jpg,30,125,57,352,Airplanes
0,image_0511.jpg,27,137,63,350,Airplanes
0,image_0512.jpg,29,148,56,356,Airplanes
0,image_0513.jpg,27,124,52,346,Airplanes
0,image_0514.jpg,26,92,48,348,Airplanes
0,image_0515.jpg,23,108,55,349,Airplanes
0,image_0516.jpg,25,112,50,348,Airplanes
0,image_0517.jpg,25,117,49,348,Airplanes
0,image_0518.jpg,29,112,54,344,Airplanes
0,image_0519.jpg,27,116,48,346,Airplanes
0,image_0520.jpg,25,109,56,348,Airplanes
0,image_0521.jpg,28,132,51,349,Airplanes
0,image_0522.jpg,26,121,49,345,Airplanes
0,image_0523.jpg,27,122,57,350,Airplanes
0,image_0524.jpg,30,138,35,348,Airplanes
0,image_0525.jpg,26,115,56,353,Airplanes
0,image_0526.jpg,29,113,46,352,Airplanes
0,image_0527.jpg,29,115,62,350,Airplanes
0,image_0528.jpg,25,121,55,344,Airplanes
0,image_0529.jpg,29,128,63,357,Airplanes
0,image_0530.jpg,24,128,48,345,Airplanes
0,image_0531.jpg,29,130,48,348,Airplanes
0,image_0532.jpg,25,122,52,347,Airplanes
0,image_0533.jpg,29,125,51,344,Airplanes
0,image_0534.jpg,23,100,47,346,Airplanes
0,image_0535.jpg,25,134,44,344,Airplanes
0,image_0536.jpg,26,117,51,349,Airplanes
0,image_0537.jpg,33,131,59,352,Airplanes
0,image_0538.jpg,24,121,50,344,Airplanes
0,image_0539.jpg,29,126,50,346,Airplanes
0,image_0540.jpg,38,158,55,334,Airplanes
0,image_0541.jpg,26,123,51,350,Airplanes
0,image_0542.jpg,25,112,48,346,Airplanes
0,image_0543.jpg,29,120,43,345,Airplanes
0,image_0544.jpg,23,103,48,345,Airplanes
0,image_0545.jpg,27,127,34,349,Airplanes
0,image_0546.jpg,25,110,50,347,Airplanes
0,image_0547.jpg,25,120,46,350,Airplanes
0,image_0548.jpg,27,107,49,345,Airplanes
0,image_0549.jpg,26,117,53,347,Airplanes
0,image_0550.jpg,23,107,49,346,Airplanes
0,image_0551.jpg,24,101,48,345,Airplanes
0,image_0552.jpg,26,101,53,350,Airplanes
0,image_0553.jpg,39,190,56,343,Airplanes
0,image_0554.jpg,41,143,74,354,Airplanes
0,image_0555.jpg,39,156,66,361,Airplanes
0,image_0556.jpg,25,122,51,349,Airplanes
0,image_0557.jpg,32,127,54,352,Airplanes
